#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
89.220146,1000,1102.364019
181.167132,404,1108.422362
195.465577,478,1109.118592
41.383948,1000,1110.605048
61.453379,1000,1113.379061
-30.287404,312,1113.838658
217.11531,555,1114.663983
167.351008,461,1115.344229
152.517632,539,1117.564522
221.609413,467,1118.24982
166.319909,480,1118.97179
162.292061,888,1121.58642
169.196217,554,1122.392771
171.028086,487,1123.106831
-63.082147,222,1123.460311
171.268573,456,1124.138825
83.396984,1000,1126.956811
46.535739,1000,1132.399933
128.66273,537,1134.56355
153.867577,611,1135.464482
185.904125,579,1136.340436
-113.756692,498,1138.416582
-144.00048,622,1139.354662
194.695645,435,1140.009378
213.531772,499,1140.775721
231.410048,499,1142.814459
206.104635,462,1143.501711
196.958006,434,1144.150132
210.917522,464,1144.841742
135.434146,646,1147.14664
221.458038,450,1147.846637
182.967272,476,1148.55476
194.573282,523,1149.374927
244.838683,600,1151.686508
185.308651,500,1152.471742
164.87752,488,1153.203866
190.475841,411,1153.803848
188.465746,461,1158.504405
-119.544617,439,1160.554163
234.57789,450,1161.238487
197.874211,470,1161.928275
186.299442,538,1162.731793
276.955579,591,1164.940706
-52.804466,278,1165.346747
186.613765,483,1166.090692
-71.421457,405,1166.720009
192.461819,423,1167.359638
218.191849,427,1169.285322
236.065443,473,1170.019741
203.737513,453,1170.693974
237.674862,431,1171.364706
229.194999,450,1173.445258
165.125896,427,1174.105145
161.46669,419,1174.716599
-83.375117,358,1175.244246
-49.878351,327,1175.714665
164.37972,490,1177.836372
-55.061061,414,1178.470607
159.842817,496,1179.216858
202.915207,451,1179.910496
170.321946,653,1184.876101
171.695751,445,1186.825558
200.062472,417,1187.456815
96.051678,1000,1188.932648
-122.489595,555,1191.038679
222.168403,422,1191.693644
231.727356,685,1192.737592
-24.661488,331,1193.223593
166.510985,447,1195.269758
152.850805,500,1195.988499
232.908825,419,1196.589566
-65.979946,312,1197.051919
-59.173246,349,1197.535473
228.292459,422,1199.516644
224.516857,420,1200.110166
-24.35367,217,1200.421769
-74.265042,348,1200.915628
-56.242791,399,1201.471781
217.999283,401,1202.041752
3.103539,294,1203.792823
156.562177,512,1204.508399
191.789089,362,1205.023636
206.190293,443,1209.41259
160.836979,365,1210.057169
-57.360945,266,1211.909376
190.313099,539,1212.708422
169.157058,447,1213.389843
-36.458158,373,1213.91778
-28.872393,342,1214.400089
160.594603,431,1216.335978
-14.547945,314,1216.781917
-95.59318,389,1217.318755
224.472157,419,1217.930487
-42.111925,273,1218.323825
-35.458492,260,1218.683032
196.32208,415,1220.629583
134.865472,457,1221.297524
182.909906,595,1222.182317
223.797043,392,1222.74644
151.119866,429,1224.719797
236.208607,390,1225.30528
85.535857,1000,1226.808167
181.583444,459,1227.505769
214.927795,442,1229.489185
-35.688604,398,1230.056592
196.326681,681,1235.833022
178.278348,465,1236.526853
235.28418,432,1238.461103
197.297285,394,1239.046232
-38.924551,405,1239.649792
225.11125,483,1240.384898
-87.532573,375,1240.94439
190.366645,576,1243.105178
203.040965,423,1243.710246
-25.717523,306,1244.157986
199.667621,521,1244.915877
140.250692,484,1246.988447
-14.841671,322,1247.465494
70.171265,1000,1248.971397
92.533097,1000,1251.832224
-39.618423,391,1252.419682
190.999212,452,1253.12658
-18.909865,431,1253.767707
-28.455298,343,1254.286616
-61.792325,374,1256.206055
211.733485,439,1256.85036
227.624462,409,1261.179169
198.658088,427,1261.834671
177.230292,468,1262.532819
168.714251,534,1264.66027
207.763075,417,1265.264592
-64.958302,392,1265.827477
207.875006,415,1266.432824
-52.12361,365,1268.298006
-32.215373,389,1268.923618
224.662996,434,1269.57391
219.880361,414,1270.194921
193.17284,475,1270.895742
199.77268,415,1272.94966
240.434649,405,1273.544808
79.532709,1000,1275.033826
-15.10347,440,1275.698486
227.803458,463,1277.743982
195.96267,491,1278.454576
207.803363,430,1279.084568
182.321015,617,1279.979365
178.516353,842,1286.694671
221.179717,394,1287.280043
175.103245,509,1288.07754
90.29681,1000,1290.93063
229.64037,437,1291.586848
195.306774,469,1292.288954
196.265297,444,1292.972859
